year,sCurrentResults,s1aConstant,s1bPlus2,s2a236pct,s2b529pct,s3a375pct,s3b196pct
1750,0,0,0,0,0,0,0
1751,3,3,3,3,3,3,3
1752,3,3,3,3,3,3,3
1753,3,3,3,3,3,3,3
1754,3,3,3,3,3,3,3
1755,3,3,3,3,3,3,3
1756,3,3,3,3,3,3,3
1757,3,3,3,3,3,3,3
1758,3,3,3,3,3,3,3
1759,3,3,3,3,3,3,3
1760,3,3,3,3,3,3,3
1761,3,3,3,3,3,3,3
1762,3,3,3,3,3,3,3
1763,3,3,3,3,3,3,3
1764,3,3,3,3,3,3,3
1765,3,3,3,3,3,3,3
1766,3,3,3,3,3,3,3
1767,3,3,3,3,3,3,3
1768,3,3,3,3,3,3,3
1769,3,3,3,3,3,3,3
1770,3,3,3,3,3,3,3
1771,4,4,4,4,4,4,4
1772,4,4,4,4,4,4,4
1773,4,4,4,4,4,4,4
1774,4,4,4,4,4,4,4
1775,4,4,4,4,4,4,4
1776,4,4,4,4,4,4,4
1777,4,4,4,4,4,4,4
1778,4,4,4,4,4,4,4
1779,4,4,4,4,4,4,4
1780,4,4,4,4,4,4,4
1781,5,5,5,5,5,5,5
1782,5,5,5,5,5,5,5
1783,5,5,5,5,5,5,5
1784,5,5,5,5,5,5,5
1785,5,5,5,5,5,5,5
1786,5,5,5,5,5,5,5
1787,5,5,5,5,5,5,5
1788,5,5,5,5,5,5,5
1789,5,5,5,5,5,5,5
1790,5,5,5,5,5,5,5
1791,6,6,6,6,6,6,6
1792,6,6,6,6,6,6,6
1793,6,6,6,6,6,6,6
1794,6,6,6,6,6,6,6
1795,6,6,6,6,6,6,6
1796,6,6,6,6,6,6,6
1797,7,7,7,7,7,7,7
1798,7,7,7,7,7,7,7
1799,7,7,7,7,7,7,7
1800,8,8,8,8,8,8,8
1801,8,8,8,8,8,8,8
1802,10,10,10,10,10,10,10
1803,9,9,9,9,9,9,9
1804,9,9,9,9,9,9,9
1805,9,9,9,9,9,9,9
1806,10,10,10,10,10,10,10
1807,10,10,10,10,10,10,10
1808,10,10,10,10,10,10,10
1809,10,10,10,10,10,10,10
1810,10,10,10,10,10,10,10
1811,11,11,11,11,11,11,11
1812,11,11,11,11,11,11,11
1813,11,11,11,11,11,11,11
1814,11,11,11,11,11,11,11
1815,12,12,12,12,12,12,12
1816,13,13,13,13,13,13,13
1817,14,14,14,14,14,14,14
1818,14,14,14,14,14,14,14
1819,14,14,14,14,14,14,14
1820,14,14,14,14,14,14,14
1821,14,14,14,14,14,14,14
1822,15,15,15,15,15,15,15
1823,16,16,16,16,16,16,16
1824,16,16,16,16,16,16,16
1825,17,17,17,17,17,17,17
1826,17,17,17,17,17,17,17
1827,18,18,18,18,18,18,18
1828,18,18,18,18,18,18,18
1829,18,18,18,18,18,18,18
1830,24,24,24,24,24,24,24
1831,23,23,23,23,23,23,23
1832,23,23,23,23,23,23,23
1833,24,24,24,24,24,24,24
1834,24,24,24,24,24,24,24
1835,25,25,25,25,25,25,25
1836,29,29,29,29,29,29,29
1837,29,29,29,29,29,29,29
1838,30,30,30,30,30,30,30
1839,31,31,31,31,31,31,31
1840,33,33,33,33,33,33,33
1841,34,34,34,34,34,34,34
1842,36,36,36,36,36,36,36
1843,37,37,37,37,37,37,37
1844,39,39,39,39,39,39,39
1845,43,43,43,43,43,43,43
1846,43,43,43,43,43,43,43
1847,46,46,46,46,46,46,46
1848,47,47,47,47,47,47,47
1849,50,50,50,50,50,50,50
1850,54,54,54,54,54,54,54
1851,54,54,54,54,54,54,54
1852,57,57,57,57,57,57,57
1853,59,59,59,59,59,59,59
1854,69,69,69,69,69,69,69
1855,71,71,71,71,71,71,71
1856,76,76,76,76,76,76,76
1857,77,77,77,77,77,77,77
1858,78,78,78,78,78,78,78
1859,83,83,83,83,83,83,83
1860,91,91,91,91,91,91,91
1861,95,95,95,95,95,95,95
1862,97,97,97,97,97,97,97
1863,104,104,104,104,104,104,104
1864,112,112,112,112,112,112,112
1865,119,119,119,119,119,119,119
1866,122,122,122,122,122,122,122
1867,130,130,130,130,130,130,130
1868,135,135,135,135,135,135,135
1869,142,142,142,142,142,142,142
1870,147,147,147,147,147,147,147
1871,156,156,156,156,156,156,156
1872,173,173,173,173,173,173,173
1873,184,184,184,184,184,184,184
1874,174,174,174,174,174,174,174
1875,188,188,188,188,188,188,188
1876,191,191,191,191,191,191,191
1877,194,194,194,194,194,194,194
1878,196,196,196,196,196,196,196
1879,210,210,210,210,210,210,210
1880,236,236,236,236,236,236,236
1881,243,243,243,243,243,243,243
1882,256,256,256,256,256,256,256
1883,272,272,272,272,272,272,272
1884,275,275,275,275,275,275,275
1885,277,277,277,277,277,277,277
1886,281,281,281,281,281,281,281
1887,295,295,295,295,295,295,295
1888,327,327,327,327,327,327,327
1889,327,327,327,327,327,327,327
1890,356,356,356,356,356,356,356
1891,372,372,372,372,372,372,372
1892,374,374,374,374,374,374,374
1893,370,370,370,370,370,370,370
1894,383,383,383,383,383,383,383
1895,406,406,406,406,406,406,406
1896,419,419,419,419,419,419,419
1897,440,440,440,440,440,440,440
1898,465,465,465,465,465,465,465
1899,507,507,507,507,507,507,507
1900,534,534,534,534,534,534,534
1901,552,552,552,552,552,552,552
