year,concentration
1850,275.4
1851,275.4
1852,275.4
1853,275.4
1854,275.5
1855,275.5
1856,275.5
1857,275.5
1858,275.6
1859,275.6
1860,275.6
1861,275.6
1862,275.7
1863,275.7
1864,275.7
1865,275.8
1866,275.8
1867,275.9
1868,275.9
1869,275.9
1870,276.0
1871,276.0
1872,276.1
1873,276.1
1874,276.2
1875,276.3
1876,276.3
1877,276.4
1878,276.5
1879,276.5
1880,276.6
1881,276.7
1882,276.7
1883,276.8
1884,276.9
1885,277.0
1886,277.1
1887,277.2
1888,277.3
1889,277.4
1890,277.5
1891,277.6
1892,277.7
1893,277.8
1894,277.9
1895,278.1
1896,278.2
1897,278.3
1898,278.5
1899,278.6
1900,278.8
1901,279.0
1902,279.1
1903,279.3
1904,279.5
1905,279.7
1906,279.9
1907,280.2
1908,280.4
1909,280.7
1910,280.9
1911,281.2
1912,281.4
1913,281.7
1914,282.0
1915,282.3
1916,282.5
1917,282.8
1918,283.1
1919,283.4
1920,283.6
1921,283.9
1922,284.1
1923,284.3
1924,284.6
1925,284.8
1926,285.1
1927,285.4
1928,285.7
1929,286.0
1930,286.3
1931,286.6
1932,286.9
1933,287.0
1934,287.3
1935,287.5
1936,287.8
1937,288.1
1938,288.4
1939,288.7
1940,289.1
1941,289.4
1942,289.8
1943,290.2
1944,290.6
1945,291.0
1946,291.2
1947,291.5
1948,291.9
1949,292.3
1950,292.7
1951,293.2
1952,293.7
1953,294.2
1954,294.8
1955,295.3
1956,295.9
1957,296.6
1958,297.3
1959,298.0
1960,298.7
1961,299.5
1962,300.3
1963,301.1
1964,302.0
1965,302.9
1966,303.8
1967,304.9
1968,305.9
1969,307.0
1970,308.2
1971,309.5
1972,310.8
1973,312.2
1974,313.7
1975,315.1
1976,316.5
1977,318.0
1978,319.6
1979,321.1
1980,322.8
1981,324.4
1982,325.9
1983,327.3
1984,328.8
1985,330.3
1986,331.8
1987,333.4
1988,335.1
1989,336.8
1990,338.6
1991,340.3
1992,342.1
1993,343.8
1994,345.5
1995,347.2
1996,348.9
1997,350.7
1998,352.6
1999,354.3
2000,356.1
2001,357.9
2002,359.7
2003,361.6
2004,363.6
2005,365.8
2006,368.0
2007,370.4
2008,372.8
2009,375.2
2010,377.9
2011,380.6
2012,383.4
2013,386.3
2014,389.3
2015,392.1
2016,395.2
2017,398.3
2018,401.5
2019,404.8
2020,408.0
2021,411.1
2022,412.4
2023,412.7
2024,412.3
2025,411.4
2026,410.3
2027,409.0
2028,407.7
2029,406.3
2030,405.0
2031,403.6
2032,402.3
2033,401.0
2034,399.7
2035,398.5
2036,397.3
2037,396.1
2038,395.0
2039,393.9
2040,392.8
2041,391.7
2042,390.7
2043,389.8
2044,388.8
2045,387.9
2046,387.0
2047,386.1
2048,385.2
2049,384.4
2050,383.6
2051,382.8
2052,382.0
2053,381.3
2054,380.5
2055,379.8
2056,379.1
2057,378.4
2058,377.7
2059,377.0
2060,376.4
2061,375.8
2062,375.1
2063,374.5
2064,373.9
2065,373.3
2066,372.8
2067,372.2
2068,371.6
2069,371.1
2070,370.6
2071,370.0
2072,369.5
2073,369.0
2074,368.5
2075,368.0
2076,367.5
2077,367.0
2078,366.6
2079,366.1
2080,365.7
2081,365.2
2082,364.8
2083,364.3
2084,363.9
2085,363.5
2086,363.1
2087,362.6
2088,362.2
2089,361.8
2090,361.4
2091,361.0
2092,360.7
2093,360.3
2094,359.9
2095,359.5
2096,359.2
2097,358.8
2098,358.5
2099,358.1
2100,357.7
2101,357.4
2102,357.1
2103,356.7
2104,356.4
2105,356.1
2106,355.7
2107,355.4
2108,355.1
2109,354.8
2110,354.5
2111,354.2
2112,353.9
2113,353.6
2114,353.3
2115,353.0
2116,352.7
2117,352.4
2118,352.1
2119,351.8
2120,351.6
2121,351.3
2122,351.0
2123,350.7
